Family,Binomial,Method,Injection,Dosage mg/kg,Tested on
Elapidae,Hydrophis major,LD50,SC,0.194,Mouse
Viperidae,Echis carinatus,LD50,IP,0.196,Mouse
Elapidae,Micrurus frontalis,LD50,IP,0.2,Mouse
Viperidae,Daboia palaestinae,LD50,IV,0.2,Mouse
Elapidae,Naja philippinensis,LD50,SC,0.2,Mouse
Elapidae,Laticauda semifasciata,LD50,SC,0.2,Mouse
Elapidae,Micrurus fulvius,LD50,IV,0.2,Mouse
Elapidae,Micrurus fulvius,LD50,IM,0.2,Mouse
Elapidae,Hydrophis klossi,LD50,IP,0.2,Mouse
Elapidae,Hydrophis cyanocinctus,LD50,IP,0.2,Mouse
Viperidae,Daboia siamensis,LD50,IV,0.2,Dog
Viperidae,Vipera aspis,LD50,PA,0.2,Mouse
Elapidae,Naja atra,LDLo,IV,0.2,Rat
Elapidae,Naja kaouthia,LDLo,IV,0.2,Rabbit
Elapidae,Naja kaouthia,LDLo,IV,0.2,Guinea Pig
Viperidae,Crotalus concolor,LD50,unknown,0.2,Mouse
Viperidae,Crotalus scutulatus,LD50,unknown,0.2,Mouse
Elapidae,Micrurus mosquitensis,LD50,IV,0.2,Mouse
Viperidae,Crotalus tigris,LD50,SC,0.21,Mouse
Viperidae,Crotalus scutulatus,LD50,IV,0.21,Mammal
Elapidae,Naja samarensis,LD50,SC,0.21,Mouse
Elapidae,Laticauda semifasciata,LD50,IV,0.211,Mouse
Viperidae,Agkistrodon contortrix,LD50,IP,0.22,Mouse
Viperidae,Montivipera latifii,LD50,IV,0.224,Mouse
Viperidae,Bothrops jararacussu,LD50,IC,0.225,Mouse
Elapidae,Naja melanoleuca,LD50,SC,0.225,Mouse
Viperidae,Bothrops jararaca,LD50,IC,0.225,Mouse
Viperidae,Bothrops alternatus,LD50,IC,0.225,Mouse
Viperidae,Crotalus horridus,LD50,IP,0.225,Mouse
Viperidae,Montivipera xanthina,LD50,IV,0.228,Mouse
Viperidae,Crotalus basiliscus,LD50,IV,0.229,Pigeon
Elapidae,Micrurus alleni,LD50,IV,0.23,Mouse
Elapidae,Pseudechis australis,LD50,IV,0.23,Mouse
Viperidae,Crotalus scutulatus,LD50,IP,0.23,Mammal
Elapidae,Micrurus multifasciatus,LD50,IP,0.238,Mouse
Elapidae,Naja kaouthia,LD50,SC,0.24,Mouse
Elapidae,Hydrophis coggeri,LD50,IM,0.24,unknown
Elapidae,Hydrophis hardwickii,LD50,IM,0.24,Mouse
Viperidae,Echis carinatus,LD50,IC,0.241,Mouse
Elapidae,Micrurus corallinus,LD50,IP,0.25,Mouse
Viperidae,Cerastes cerastes,LD50,IV,0.25,Mouse
Colubridae,Thelotornis kirtlandii,LD50,IV,0.25,Mouse
Viperidae,Pseudocerastes fieldi,LD50,unknown,0.25,Mammal
Elapidae,Hydrophis stokesii,LD50,IM,0.25,Mouse
Elapidae,Naja nivea,LDLo,IV,0.25,Pigeon
Viperidae,Cerastes vipera,LD50,IP,0.25,Mouse
Viperidae,Echis coloratus,LD50,IV,0.25,Mouse
Viperidae,Echis coloratus,LDLo,PA,0.25,Guinea Pig
Viperidae,Bitis gabonica,LDLo,IV,0.25,Dog
Elapidae,Hydrophis spiralis,LD50,IP,0.25,Mouse
Viperidae,Daboia siamensis,LDLo,IV,0.25,Rabbit
Elapidae,Naja siamensis,LDLo,SC,0.25,Mouse
Viperidae,Crotalus concolor,LD50,IP,0.25,Mouse
Viperidae,Crotalus adamanteus,LDLo,SC,0.25,Rabbit
Elapidae,Pseudonaja inframacula,LD50,SC,0.25,Mouse
Elapidae,Dendroaspis polylepis,LD50,IP,0.256,Mouse
Elapidae,Hydrophis nigrocinctus,LD50,IV,0.256,Mouse
Elapidae,Micrurus altirostris,LD50,IP,0.26,Mouse
Viperidae,Bothrops mattogrossensis,LD50,IC,0.26,Mouse
Elapidae,Hydrophis stokesii,LD50,SC,0.26,Mouse
Elapidae,Dendroaspis jamesoni,LD50,IP,0.26,Mouse
Elapidae,Hydrophis elegans,LD50,SC,0.262,Mouse
Elapidae,Dendroaspis polylepis,LD50,IV,0.264,Mouse
Elapidae,Naja atra,LD50,IV,0.264,Mouse
Colubridae,Rhabdophis tigrinus,LD50,IV,0.265,Mouse
Elapidae,Notechis scutatus,LD50,unknown,0.271,Mouse
Elapidae,Naja oxiana,LD50,IV,0.272,Mouse
Elapidae,Hydrophis cyanocinctus,LD50,IV,0.275,Mouse
Viperidae,Bothrops moojeni,LD50,IC,0.275,Mouse
Elapidae,Naja atra,LD50,SC,0.28,Mouse
Elapidae,Austrelaps superbus,LD50,IP,0.28,Mouse
Elapidae,Naja atra,LD50,IM,0.28,Chicken
Elapidae,Naja atra,LD50,unknown,0.28,Chicken
Viperidae,Bothrops leucurus,LD50,IC,0.285,Mouse
Viperidae,Crotalus cerberus,LD50,IV,0.286,Pigeon
Viperidae,Crotalus enyo,LD50,IV,0.286,Pigeon
Viperidae,Crotalus willardi,LD50,IV,0.286,Pigeon
Elapidae,Naja haje,LD50,IV,0.287,Mouse
Elapidae,Naja naja,LD50,SC,0.29,Mouse
Viperidae,Cerastes cerastes,LD50,IP,0.296,Mouse
Viperidae,Daboia mauritanica,LD50,IV,0.2985,Mouse
Elapidae,Micrurus spixii,LD50,IP,0.3,Mouse
Viperidae,Calloselasma rhodostoma,LDLo,IV,0.3,Rat
Elapidae,Micrurus nigrocinctus,LD50,IV,0.3,Mouse
Elapidae,Naja naja,LDLo,SC,0.3,Mouse
Elapidae,Naja atra,LDLo,unknown,0.3,Rabbit
Elapidae,Naja kaouthia,LDLo,SC,0.3,Rabbit
Elapidae,Naja kaouthia,LDLo,SC,0.3,Guinea Pig
Elapidae,Naja nigricollis,LDLo,IV,0.3,Rabbit
Elapidae,Naja naja,LDLo,IM,0.3,Monkey
Viperidae,Crotalus mitchellii,LD50,IM,0.3,Mouse
Viperidae,Crotalus durissus,LD50,IP,0.3,Mammal
Elapidae,Hydrophis hardwickii,LD50,IV,0.303,Mouse
Viperidae,Gloydius halys,LD50,IV,0.304,Mouse
Viperidae,Crotalus scutulatus,LD50,SC,0.31,Mouse
Elapidae,Pseudonaja textilis,LD50,IP,0.31,Mouse
Viperidae,Agkistrodon bilineatus,LD50,IV,0.314,Pigeon
Viperidae,Agkistrodon piscivorus,LD50,IV,0.314,Pigeon
Viperidae,Crotalus lutosus,LD50,IV,0.314,Pigeon
Elapidae,Bungarus flaviceps,LD50,IV,0.32,Mouse
Elapidae,Naja melanoleuca,LD50,IP,0.324,Mouse
Viperidae,Bothrops atrox,LD50,IC,0.325,Mouse
Elapidae,Dendroaspis viridis,LD50,IP,0.33,Mouse
Elapidae,Micrurus fulvius,LD50,IP,0.33,Mouse
Elapidae,Naja nigricollis,LDLo,IV,0.33,Pigeon
Elapidae,Naja nivea,LD50,IP,0.334,Mouse
Elapidae,Acanthophis antarcticus,LD50,SC,0.338,Mouse
Elapidae,Pseudonaja nuchalis,LD50,SC,0.338,Mouse
